hari,jam,open,high,low,close
Friday,0,3639.985,5450.745,3635.798,4356.185
Friday,1,3639.775,5409.275,3631.938,4348.145
Friday,2,3639.695,5312.098,3638.615,4346.575
Friday,3,3647.185,5228.645,3645.035,4358.885
Friday,4,3653.525,5229.995,3653.505,4366.535
Friday,5,3658.615,5240.865,3651.065,4377.245
Friday,6,3652.265,5204.835,3643.025,4393.225
Friday,7,3646.775,5189.475,3644.315,4393.145
Friday,8,3653.735,5182.165,3649.415,4392.095
Friday,9,3655.535,5182.355,3655.075,4376.375
Friday,10,3658.385,5180.625,3654.935,4381.315
Friday,11,3655.648,5185.515,3645.495,4381.165
Friday,12,3648.295,5190.455,3644.175,4368.545
Friday,13,3649.085,5240.235,3643.495,4349.045
Friday,14,3663.045,5236.145,3656.155,4352.755
Friday,15,3666.875,5246.248,3665.058,4356.465
Friday,16,3670.655,5257.405,3666.355,4382.775
Friday,17,3668.065,5236.705,3667.895,4392.865
Friday,18,3678.435,5246.565,3677.768,4381.865
Friday,19,3683.415,5252.105,3681.219,4376.435
Friday,20,3684.279,5265.198,3680.765,4376.595
Friday,21,4003.645,5280.878,3998.165,5171.798
Monday,0,3686.085,5387.645,3685.375,4338.304
Monday,1,3690.685,5347.015,3686.475,4353.088
Monday,2,3689.145,5351.435,3685.235,4330.735
Monday,3,3686.175,5366.535,3685.775,4330.184
Monday,4,3695.265,5366.935,3689.795,4329.315
Monday,5,3691.975,5365.985,3691.725,4337.149
Monday,6,3696.855,5389.505,3695.325,4322.055
Monday,7,3714.125,5418.875,3708.385,4310.715
Monday,8,3713.005,5416.455,3712.225,4306.505
Monday,9,3720.028,5402.815,3719.085,4285.285
Monday,10,3723.025,5400.715,3720.785,4294.485
Monday,11,3727.265,5399.795,3720.925,4286.825
Monday,12,3724.525,5398.498,3711.898,4270.888
Monday,13,3721.415,5416.625,3713.225,4272.405
Monday,14,3722.125,5394.895,3716.525,4279.305
Monday,15,3725.775,5348.438,3723.445,4287.975
Monday,16,3736.005,5314.925,3734.955,4315.598
Monday,17,3736.948,5320.315,3736.935,4310.968
Monday,18,3746.385,5316.465,3744.395,4307.198
Monday,19,3747.398,5333.795,3742.225,4283.388
Monday,20,3747.418,5346.045,3745.208,4298.555
Monday,21,3745.845,5340.095,3745.845,4298.555
Monday,22,3745.698,5321.845,3737.728,4295.285
Monday,23,3739.475,5346.658,3738.535,4288.175
Sunday,0,3684.935,5317.238,3684.935,4335.415
Sunday,1,3684.935,5317.238,3684.935,4335.415
Sunday,2,3684.935,5317.238,3684.935,4335.415
Sunday,3,3684.935,5317.238,3684.935,4335.415
Sunday,4,3684.935,5317.238,3684.935,4335.415
Sunday,5,3684.935,5317.238,3684.935,4335.415
Sunday,6,3684.935,5317.238,3684.935,4335.415
Sunday,7,3684.935,5317.238,3684.935,4335.415
Sunday,8,3684.935,5317.238,3684.935,4335.415
Sunday,9,3684.935,5317.238,3684.935,4335.415
Sunday,10,3684.935,5317.238,3684.935,4335.415
Sunday,11,3684.935,5317.238,3684.935,4335.415
Sunday,12,3684.935,5317.238,3684.935,4335.415
Sunday,13,3684.935,5317.238,3684.935,4335.415
Sunday,14,3684.935,5317.238,3684.935,4335.415
Sunday,15,3684.935,5317.238,3684.935,4335.415
Sunday,16,3684.935,5317.238,3684.935,4335.415
Sunday,17,3684.935,5317.238,3684.935,4335.415
Sunday,18,3684.935,5317.238,3684.935,4335.415
Sunday,19,3684.935,5317.238,3684.935,4335.415
Sunday,20,3684.935,5317.238,3684.935,4335.415
Sunday,21,3684.935,5317.238,3684.935,4335.415
Sunday,22,3686.698,5317.238,3683.365,4337.788
Sunday,23,3687.675,5392.995,3685.448,4333.985
Thursday,0,3742.775,5526.685,3741.265,4279.765
Thursday,1,3748.748,5551.315,3732.705,4299.875
Thursday,2,3735.815,5549.845,3729.365,4276.955
Thursday,3,3739.375,5548.785,3734.125,4295.895
Thursday,4,3736.425,5564.335,3731.548,4297.195
Thursday,5,3737.965,5564.235,3733.915,4304.225
Thursday,6,3738.348,5595.275,3737.295,4310.585
Thursday,7,3740.755,5574.835,3739.845,4326.955
Thursday,8,3752.065,5554.585,3750.955,4311.425
Thursday,9,3756.295,5529.605,3750.205,4305.855
Thursday,10,3756.855,5525.295,3755.315,4323.905
Thursday,11,3756.905,5528.695,3740.945,4349.305
Thursday,12,3752.885,5542.835,3730.425,4372.975
Thursday,13,3738.585,5540.925,3721.915,4366.345
Thursday,14,3733.305,5549.335,3723.548,4353.715
Thursday,15,3731.335,5496.055,3727.885,4369.985
Thursday,16,3735.755,5310.815,3732.428,4362.235
Thursday,17,3733.475,5375.255,3732.175,4360.985
Thursday,18,3741.595,5361.525,3736.445,4351.385
Thursday,19,3755.005,5344.935,3744.535,4345.705
Thursday,20,3746.405,5406.785,3745.885,4341.055
Thursday,21,3748.405,5425.165,3748.405,4341.055
Thursday,22,3749.498,5378.815,3746.115,4342.185
Thursday,23,3748.375,5447.649,3737.755,4345.935
Tuesday,0,3747.598,5361.788,3744.785,4292.848
Tuesday,1,3746.985,5379.755,3745.358,4304.365
Tuesday,2,3754.335,5367.695,3736.455,4314.055
Tuesday,3,3741.575,5373.185,3738.895,4303.315
Tuesday,4,3746.395,5375.255,3743.025,4304.598
Tuesday,5,3744.565,5366.615,3743.115,4290.775
Tuesday,6,3752.955,5322.675,3751.055,4293.295
Tuesday,7,3753.598,5330.855,3748.725,4280.655
Tuesday,8,3753.125,5335.735,3752.905,4262.235
Tuesday,9,3774.175,5303.645,3774.005,4268.085
Tuesday,10,3784.675,5287.555,3780.585,4281.305
Tuesday,11,3782.805,5263.625,3779.455,4284.449
Tuesday,12,3783.395,5226.505,3777.235,4290.155
Tuesday,13,3784.135,5228.445,3773.725,4294.578
Tuesday,14,3783.498,5214.155,3767.185,4276.905
Tuesday,15,3773.885,5238.365,3772.655,4289.125
Tuesday,16,3779.335,5235.475,3764.805,4295.365
Tuesday,17,3779.165,5235.125,3775.595,4294.755
Tuesday,18,3777.225,5227.735,3756.065,4308.275
Tuesday,19,3756.425,5207.365,3751.805,4297.615
Tuesday,20,3764.165,5198.898,3762.345,4289.385
Tuesday,21,3762.985,5190.855,3762.985,4289.385
Tuesday,22,3764.698,5197.545,3761.359,4287.575
Tuesday,23,3765.039,5197.175,3761.685,4281.455
Wednesday,0,3763.505,5219.175,3758.725,4277.145
Wednesday,1,3764.975,5224.985,3754.825,4282.285
Wednesday,2,3756.248,5234.415,3750.329,4321.475
Wednesday,3,3756.698,5247.475,3751.998,4326.755
Wednesday,4,3765.135,5248.755,3763.055,4321.545
Wednesday,5,3768.035,5266.395,3767.735,4326.165
Wednesday,6,3774.648,5271.195,3768.945,4332.705
Wednesday,7,3770.985,5292.565,3770.495,4329.145
Wednesday,8,3777.245,5311.245,3766.855,4330.015
Wednesday,9,3769.905,5297.205,3762.925,4337.955
Wednesday,10,3768.298,5285.515,3759.565,4350.815
Wednesday,11,3761.975,5270.625,3759.475,4341.425
Wednesday,12,3768.855,5279.115,3763.795,4347.385
Wednesday,13,3767.855,5289.235,3758.825,4338.275
Wednesday,14,3760.775,5288.245,3749.465,4354.785
Wednesday,15,3752.845,5298.125,3739.535,4352.485
Wednesday,16,3740.965,5300.005,3732.115,4346.295
Wednesday,17,3735.605,5306.795,3732.015,4356.295
Wednesday,18,3733.015,5325.755,3722.585,4260.575
Wednesday,19,3724.075,5331.598,3717.348,4271.935
Wednesday,20,3729.858,5391.195,3729.765,4262.935
Wednesday,21,3735.805,5418.945,3735.805,4262.935
Wednesday,22,3735.895,5414.575,3735.885,4265.155
Wednesday,23,3740.695,5596.805,3738.755,4272.315
